gid,cid,cname,pwin0,pdraw0,plost0,pwin9,pdraw9,plost9,vwin0,vdraw0,vlost0,vwin9,vdraw9,vlost9,vback0,vback9,vwin0kali,vdraw0kali,vlost0kali,vwin9kali,vdraw9kali,vlost9kali,gplay,gset,gtid,kwin,kwinrq,mplay,mtid,qj,qr,qs,tplay,tweek
629388,1,竞彩官方,2.05,3.30,2.95,2.05,3.30,2.95,43.18,26.82,30.00,43.18,26.82,30.00,88.51,88.51,0.77,0.96,0.98,0.77,0.96,0.98,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,293,威廉希尔,2.50,3.00,2.62,2.45,3.10,2.62,35.87,29.90,34.23,36.69,29.00,34.31,89.69,89.89,0.94,0.88,0.87,0.92,0.90,0.87,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,5,澳门,2.45,3.05,2.62,2.35,3.25,2.60,36.52,29.33,34.15,38.07,27.53,34.41,89.47,89.46,0.92,0.89,0.87,0.88,0.95,0.87,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,2,立博,2.30,3.30,3.00,2.50,3.10,2.90,40.59,28.29,31.12,37.47,30.22,32.31,93.36,93.68,0.86,0.96,1.00,0.94,0.90,0.97,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,3,Bet365,2.50,3.20,2.50,2.60,3.10,2.80,35.96,28.09,35.96,36.14,30.31,33.56,89.89,93.96,0.94,0.93,0.83,0.97,0.90,0.93,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,4,Interwetten,2.50,3.05,2.65,2.45,3.05,2.70,36.19,29.67,34.14,36.89,29.63,33.48,90.48,90.38,0.94,0.89,0.88,0.92,0.89,0.90,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,8,SNAI,2.40,3.15,2.70,2.45,3.10,2.70,37.72,28.74,33.53,37.07,29.30,33.64,90.54,90.82,0.90,0.92,0.90,0.92,0.90,0.90,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,280,皇冠,2.23,3.25,2.74,2.40,3.25,2.65,40.00,27.45,32.55,37.82,27.93,34.25,89.20,90.77,0.84,0.95,0.91,0.90,0.95,0.88,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,9,易胜博,2.42,3.00,2.80,2.42,3.00,2.80,37.44,30.20,32.36,37.44,30.20,32.36,90.60,90.60,0.91,0.88,0.93,0.91,0.88,0.93,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,6,伟德,2.30,3.25,3.00,2.55,3.20,2.75,40.41,28.60,30.98,36.71,29.25,34.04,92.95,93.61,0.86,0.95,1.00,0.96,0.93,0.92,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,11,Bwin,2.30,3.30,2.90,2.30,3.30,2.90,40.16,27.99,31.85,40.16,27.99,31.85,92.37,92.37,0.86,0.96,0.97,0.86,0.96,0.97,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,13,Gamebookers,2.30,3.30,2.90,2.30,3.30,2.90,40.16,27.99,31.85,40.16,27.99,31.85,92.37,92.37,0.86,0.96,0.97,0.86,0.96,0.97,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,1055,Pinnacle平博,2.36,3.26,3.22,2.55,3.21,2.97,40.70,29.47,29.83,37.69,29.94,32.36,96.06,96.12,0.88,0.95,1.07,0.96,0.94,0.99,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,14,Coral,2.50,3.10,2.70,2.55,3.10,2.70,36.60,29.51,33.89,36.14,29.73,34.13,91.50,92.16,0.94,0.90,0.90,0.96,0.90,0.90,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,651,利记,2.32,3.15,2.67,2.43,3.00,2.67,38.38,28.27,33.35,36.76,29.78,33.46,89.05,89.33,0.87,0.92,0.89,0.91,0.88,0.89,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,291,Unibet (优胜客),2.30,3.25,2.87,2.50,3.25,2.65,39.86,28.21,31.94,36.86,28.36,34.78,91.67,92.16,0.86,0.95,0.96,0.94,0.95,0.88,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,275,SportingBet (博天堂),2.25,3.30,2.88,2.45,3.15,2.70,40.60,27.68,31.72,37.24,28.97,33.79,91.35,91.24,0.84,0.96,0.96,0.92,0.92,0.90,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,140,Mansion88 (明升),2.35,3.15,2.67,2.51,3.10,2.52,38.08,28.41,33.51,35.64,28.86,35.50,89.48,89.46,0.88,0.92,0.89,0.94,0.90,0.84,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,348,金宝博,2.23,3.25,2.74,2.40,3.25,2.65,40.00,27.45,32.55,37.82,27.93,34.25,89.20,90.77,0.84,0.95,0.91,0.90,0.95,0.88,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,122,香港马会,2.05,3.30,3.00,2.10,3.30,2.90,43.39,26.96,29.65,42.36,26.96,30.68,88.95,88.96,0.77,0.96,1.00,0.79,0.96,0.97,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,502,12BET (壹�E博),2.25,3.20,2.85,2.40,3.00,2.75,40.12,28.21,31.67,37.41,29.93,32.65,90.27,89.80,0.84,0.93,0.95,0.90,0.88,0.92,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,15,Eurobet,2.25,3.15,2.85,2.45,3.05,2.70,39.94,28.53,31.53,36.89,29.63,33.48,89.86,90.38,0.84,0.92,0.95,0.92,0.89,0.90,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,18,必发,2.54,2.26,1.97,2.64,3.20,2.90,29.30,32.93,37.77,36.56,30.16,33.28,74.42,96.51,0.95,0.66,0.66,0.99,0.93,0.97,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,22,BETDAQ,2.28,3.10,2.62,2.56,3.20,2.92,38.38,28.23,33.40,37.36,29.89,32.75,87.50,95.64,0.85,0.90,0.87,0.96,0.93,0.97,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,66,Betshop,2.55,3.20,2.60,2.50,3.10,2.75,36.00,28.69,35.31,36.83,29.70,33.48,91.80,92.06,0.96,0.93,0.87,0.94,0.90,0.92,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,10,Centrebet,2.45,3.10,2.60,2.45,3.10,2.60,36.59,28.92,34.48,36.59,28.92,34.48,89.66,89.66,0.92,0.90,0.87,0.92,0.90,0.87,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,1001,Leon,2.52,3.02,2.52,2.54,3.17,2.88,35.28,29.44,35.28,37.27,29.86,32.87,88.91,94.66,0.94,0.88,0.84,0.95,0.93,0.96,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,734,Smarkets,2.56,3.20,2.94,2.54,3.20,2.96,37.44,29.95,32.60,37.71,29.93,32.36,95.85,95.78,0.96,0.93,0.98,0.95,0.93,0.99,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,1307,Betmonsters,2.47,3.19,2.62,2.40,3.14,2.75,36.80,28.50,34.70,37.92,28.98,33.09,90.91,91.01,0.93,0.93,0.87,0.90,0.92,0.92,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,422,Eurobet.it,2.25,3.15,2.85,2.45,3.05,2.70,39.94,28.53,31.53,36.89,29.63,33.48,89.86,90.38,0.84,0.92,0.95,0.92,0.89,0.90,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,90005,gavg,2.41,3.15,2.72,2.43,3.12,2.73,37.72,28.81,33.47,37.45,29.20,33.34,90.66,91.08,0.90,0.92,0.91,0.91,0.91,0.91,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,90009,gmax,2.83,3.40,3.22,2.64,3.33,3.00,43.39,32.93,40.70,43.18,30.46,35.74,96.54,96.51,1.06,0.99,1.07,0.99,0.97,1.00,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
629388,90001,gmin,2.05,2.26,1.97,2.05,2.90,2.40,29.30,26.82,29.65,34.20,26.82,29.73,74.42,83.02,0.77,0.66,0.66,0.77,0.85,0.80,萨德,亚冠杯,2323,-1,-1,德独立,3980,-1,0,-1,2017-02-07,2
