gid,gset,mplay,mtid,gplay,gtid,qj,qs,qr,kend,kwin,kwinrq,tweek,tplay,tsell
631897,日新杯,长崎,6072,横滨FC,3195,1,1,0,1,1,-1,1,2017-02-06,2017-02-06 09:55:00
631898,日新杯,鹿岛,1029,福冈,808,1,0,0,1,3,-1,1,2017-02-06,2017-02-06 12:55:00
574594,法乙,圣红星,6597,阿雅克,560,2,0,0,1,3,-1,1,2017-02-07,2017-02-06 23:55:00
580022,荷乙,阿喀琉,3753,埃因FC,1797,4,3,0,1,3,-1,1,2017-02-07,2017-02-06 23:55:00
580024,荷乙,阿尔城,2848,埃门,2426,3,1,0,1,3,-1,1,2017-02-07,2017-02-06 23:55:00
580031,荷乙,格拉夫,782,坎布尔,235,3,0,0,1,3,-1,1,2017-02-07,2017-02-06 23:55:00
580028,荷乙,奥斯,1172,马斯特,349,0,3,0,1,0,-1,1,2017-02-07,2017-02-06 23:55:00
580027,荷乙,福伦丹,1273,登博思,756,2,1,0,1,3,-1,1,2017-02-07,2017-02-06 23:55:00
580030,荷乙,福图纳,1303,阿青年,3053,5,2,0,1,3,-1,1,2017-02-07,2017-02-06 23:55:00
580025,荷乙,海尔蒙,1795,特尔斯,1799,3,4,0,1,0,-1,1,2017-02-07,2017-02-06 23:55:00
580026,荷乙,埃青年,5468,芬洛,435,2,1,0,1,3,-1,1,2017-02-07,2017-02-06 23:55:00
580029,荷乙,布雷达,350,多德勒,785,1,0,0,1,3,-1,1,2017-02-07,2017-02-06 23:55:00
580023,荷乙,瓦尔韦,385,乌青年,8816,1,2,0,1,0,-1,1,2017-02-07,2017-02-06 23:55:00
609774,葡超,马里迪,1050,摩雷伦斯,1110,1,0,0,1,3,-1,1,2017-02-07,2017-02-06 23:55:00
596642,德乙,斯图加,1195,杜塞尔,781,2,0,0,1,3,-1,1,2017-02-07,2017-02-06 23:55:00
607042,西甲,格拉纳,4607,拉斯帕,965,1,0,0,1,3,-1,1,2017-02-07,2017-02-06 23:55:00
574598,法乙,瓦朗谢,2331,阿弗尔,982,0,0,0,1,1,-1,1,2017-02-07,2017-02-06 23:55:00
609772,葡超,菲伦斯,2923,里奥阿,1002,2,1,0,1,3,-1,1,2017-02-07,2017-02-06 23:55:00
609771,葡超,布拉加,719,埃斯托,1616,1,1,0,1,1,-1,1,2017-02-07,2017-02-06 23:55:00
