xtim,kret9,kret3,kret1,kret0,knum9,knum3,knum1,knum0,ret9,num9,nwin9,ret3,ret1,ret0,nwin3,nwin1,nwin0,num3,num1,num0,cid
2017-02-19,97.91,90.97,0.0,148.25,60.61,55.17,0.0,100.0,32.31,33.0,20.0,26.38,0.0,5.93,16.0,0.0,4.0,29.0,0.0,4.0,1
2017-02-18,90.93,93.24,0.0,85.0,52.63,53.66,0.0,50.0,51.83,57.0,30.0,38.23,0.0,13.6,22.0,0.0,8.0,41.0,0.0,16.0,1
2017-02-17,90.38,92.08,0.0,85.25,56.25,58.33,0.0,50.0,14.46,16.0,9.0,11.05,0.0,3.41,7.0,0.0,2.0,12.0,0.0,4.0,1
2017-02-16,90.5,100.56,0.0,0.0,60.0,66.67,0.0,0.0,9.05,10.0,6.0,9.05,0.0,0.0,6.0,0.0,0.0,9.0,0.0,1.0,1
2017-02-15,82.87,97.46,0.0,24.5,50.0,58.33,0.0,16.67,24.86,30.0,15.0,23.39,0.0,1.47,14.0,0.0,1.0,24.0,0.0,6.0,1
2017-02-14,135.43,129.0,0.0,151.5,85.71,80.0,0.0,100.0,9.48,7.0,6.0,6.45,0.0,3.03,4.0,0.0,2.0,5.0,0.0,2.0,1
2017-02-13,108.45,136.23,0.0,68.33,63.64,76.92,0.0,44.44,23.86,22.0,14.0,17.71,0.0,6.15,10.0,0.0,4.0,13.0,0.0,9.0,1
2017-02-12,99.23,97.34,0.0,105.67,62.26,60.98,0.0,66.67,52.59,53.0,33.0,39.91,0.0,12.68,25.0,0.0,8.0,41.0,0.0,12.0,1
2017-02-11,89.37,87.55,0.0,100.67,52.31,50.0,0.0,66.67,58.09,65.0,34.0,49.03,0.0,9.06,28.0,0.0,6.0,56.0,0.0,9.0,1
2017-02-10,73.6,73.6,0.0,0.0,60.0,60.0,0.0,0.0,3.68,5.0,3.0,3.68,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1
2017-02-09,110.06,101.6,0.0,152.33,66.67,60.0,0.0,100.0,19.81,18.0,12.0,15.24,0.0,4.57,9.0,0.0,3.0,15.0,0.0,3.0,1
2017-02-08,87.31,107.41,0.0,49.33,53.85,64.71,0.0,33.33,22.7,26.0,14.0,18.26,0.0,4.44,11.0,0.0,3.0,17.0,0.0,9.0,1
2017-02-07,79.2,101.5,0.0,34.6,46.67,60.0,0.0,20.0,11.88,15.0,7.0,10.15,0.0,1.73,6.0,0.0,1.0,10.0,0.0,5.0,1
2017-02-06,88.0,110.0,0.0,0.0,60.0,75.0,0.0,0.0,8.8,10.0,6.0,8.8,0.0,0.0,6.0,0.0,0.0,8.0,0.0,2.0,1
2017-02-05,81.95,79.44,0.0,92.0,45.0,43.75,0.0,50.0,16.39,20.0,9.0,12.71,0.0,3.68,7.0,0.0,2.0,16.0,0.0,4.0,1
2017-02-04,91.08,72.27,0.0,194.5,46.15,36.36,0.0,100.0,11.84,13.0,6.0,7.95,0.0,3.89,4.0,0.0,2.0,11.0,0.0,2.0,1
2017-01-28,103.18,100.28,0.0,116.25,59.09,55.56,0.0,75.0,22.7,22.0,13.0,18.05,0.0,4.65,10.0,0.0,3.0,18.0,0.0,4.0,1
2017-01-27,14.0,56.0,0.0,0.0,12.5,50.0,0.0,0.0,1.12,8.0,1.0,1.12,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,1
2017-01-26,87.92,91.8,0.0,82.1,56.0,60.0,0.0,50.0,21.98,25.0,14.0,13.77,0.0,8.21,9.0,0.0,5.0,15.0,0.0,10.0,1
2017-01-25,51.24,38.93,0.0,108.67,35.29,28.57,0.0,66.67,8.71,17.0,6.0,5.45,0.0,3.26,4.0,0.0,2.0,14.0,0.0,3.0,1
2017-01-24,118.67,97.0,0.0,162.0,66.67,50.0,0.0,100.0,10.68,9.0,6.0,5.82,0.0,4.86,3.0,0.0,3.0,6.0,0.0,3.0,1
sum,90.81,93.24,0.0,83.0,54.89,55.86,0.0,51.75,436.82,481.0,264.0,342.2,0.0,94.62,205.0,0.0,59.0,367.0,0.0,114.0,1
