cid,doc,knum0,knum1,knum3,knum9,kret0,kret1,kret3,kret9,nday,num0,num1,num3,num9,nwin0,nwin1,nwin3,nwin9,ret0,ret1,ret3,ret9,v1,v2,v3,v4,v5,xtim
1,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,sum
1,195,66.67,0.0,84.31,81.67,72.67,0.0,91.98,89.08,500.0,9.0,0.0,51.0,60.0,6.0,0.0,43.0,49.0,6.54,0.0,46.91,53.45,1.1,0.0,0.0,0.0,0.0,sum
1,200,84.91,0.0,84.58,84.64,95.0,0.0,93.55,93.81,500.0,53.0,0.0,240.0,293.0,45.0,0.0,203.0,248.0,50.35,0.0,224.51,274.86,1.15,0.0,0.0,0.0,0.0,sum
1,205,86.78,0.0,83.92,84.5,99.42,0.0,95.1,95.97,500.0,121.0,0.0,479.0,600.0,105.0,0.0,402.0,507.0,120.3,0.0,455.53,575.83,1.2,0.0,0.0,0.0,0.0,sum
1,209,78.79,0.0,81.61,80.99,92.6,0.0,94.27,93.9,500.0,198.0,0.0,707.0,905.0,156.0,0.0,577.0,733.0,183.34,0.0,666.48,849.82,1.25,0.0,0.0,0.0,0.0,sum
1,214,78.12,0.0,78.33,78.28,93.61,0.0,92.66,92.88,500.0,288.0,0.0,992.0,1280.0,225.0,0.0,777.0,1002.0,269.6,0.0,919.2,1188.8,1.3,0.0,0.0,0.0,0.0,sum
1,228,73.02,0.0,73.51,73.4,90.67,0.0,91.32,91.18,500.0,467.0,0.0,1740.0,2207.0,341.0,0.0,1279.0,1620.0,423.44,0.0,1588.99,2012.43,1.4,0.0,0.0,0.0,0.0,sum
1,245,68.88,0.0,69.14,69.08,89.47,0.0,89.64,89.6,500.0,707.0,0.0,2579.0,3286.0,487.0,0.0,1783.0,2270.0,632.54,0.0,2311.71,2944.25,1.5,0.0,0.0,0.0,0.0,sum
1,263,65.16,0.0,66.33,66.08,88.0,0.0,89.58,89.24,500.0,953.0,0.0,3516.0,4469.0,621.0,0.0,2332.0,2953.0,838.6,0.0,3149.53,3988.13,1.6,0.0,0.0,0.0,0.0,sum
1,282,62.29,0.0,63.8,63.47,87.63,0.0,89.27,88.91,500.0,1233.0,0.0,4395.0,5628.0,768.0,0.0,2804.0,3572.0,1080.5,0.0,3923.47,5003.97,1.7,0.0,0.0,0.0,0.0,sum
