xtim,kret9,kret3,kret1,kret0,knum9,knum3,knum1,knum0,ret9,num9,nwin9,ret3,ret1,ret0,nwin3,nwin1,nwin0,num3,num1,num0,v1,v2,v3,v4,v5,nday,doc
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,90.0,0.0,0.0,0.0,500.0,223
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,80.0,0.0,0.0,0.0,500.0,228
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,70.0,0.0,0.0,0.0,500.0,228
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,60.0,0.0,0.0,0.0,500.0,230
,103.0,103.0,0.0,0.0,100.0,100.0,0.0,0.0,1.03,1.0,1.0,1.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.1,50.0,0.0,0.0,0.0,500.0,231
,103.0,103.0,0.0,0.0,100.0,100.0,0.0,0.0,1.03,1.0,1.0,1.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.1,45.0,0.0,0.0,0.0,500.0,224
,103.0,103.0,0.0,0.0,100.0,100.0,0.0,0.0,1.03,1.0,1.0,1.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.1,40.0,0.0,0.0,0.0,500.0,223
,108.2,108.2,0.0,0.0,100.0,100.0,0.0,0.0,5.41,5.0,5.0,5.41,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1.15,90.0,0.0,0.0,0.0,500.0,219
,95.13,92.86,0.0,111.0,87.5,85.71,0.0,100.0,7.61,8.0,7.0,6.5,0.0,1.11,6.0,0.0,1.0,7.0,0.0,1.0,1.15,80.0,0.0,0.0,0.0,500.0,218
,93.5,90.67,0.0,110.5,85.71,83.33,0.0,100.0,13.09,14.0,12.0,10.88,0.0,2.21,10.0,0.0,2.0,12.0,0.0,2.0,1.15,70.0,0.0,0.0,0.0,500.0,219
,93.67,91.89,0.0,110.5,85.71,84.21,0.0,100.0,19.67,21.0,18.0,17.46,0.0,2.21,16.0,0.0,2.0,19.0,0.0,2.0,1.15,60.0,0.0,0.0,0.0,500.0,218
,93.57,95.62,0.0,81.25,85.71,87.5,0.0,75.0,26.2,28.0,24.0,22.95,0.0,3.25,21.0,0.0,3.0,24.0,0.0,4.0,1.15,50.0,0.0,0.0,0.0,500.0,218
,92.44,94.04,0.0,81.25,84.38,85.71,0.0,75.0,29.58,32.0,27.0,26.33,0.0,3.25,24.0,0.0,3.0,28.0,0.0,4.0,1.15,45.0,0.0,0.0,0.0,500.0,219
,89.64,90.79,0.0,81.25,81.82,82.76,0.0,75.0,29.58,33.0,27.0,26.33,0.0,3.25,24.0,0.0,3.0,29.0,0.0,4.0,1.15,40.0,0.0,0.0,0.0,500.0,219
,94.33,92.31,0.0,110.5,86.11,84.38,0.0,100.0,33.96,36.0,31.0,29.54,0.0,4.42,27.0,0.0,4.0,32.0,0.0,4.0,1.2,90.0,0.0,0.0,0.0,500.0,219
,91.88,93.03,0.0,83.5,83.33,84.48,0.0,75.0,60.64,66.0,55.0,53.96,0.0,6.68,49.0,0.0,6.0,58.0,0.0,8.0,1.2,80.0,0.0,0.0,0.0,500.0,221
,94.71,95.12,0.0,92.17,86.05,86.49,0.0,83.33,81.45,86.0,74.0,70.39,0.0,11.06,64.0,0.0,10.0,74.0,0.0,12.0,1.2,70.0,0.0,0.0,0.0,500.0,221
,95.93,96.36,0.0,93.58,86.89,87.38,0.0,84.21,117.03,122.0,106.0,99.25,0.0,17.78,90.0,0.0,16.0,103.0,0.0,19.0,1.2,60.0,0.0,0.0,0.0,500.0,221
,96.0,96.82,0.0,91.7,86.81,87.6,0.0,82.61,138.24,144.0,125.0,117.15,0.0,21.09,106.0,0.0,19.0,121.0,0.0,23.0,1.2,50.0,0.0,0.0,0.0,500.0,221
,95.68,95.84,0.0,94.89,86.34,86.57,0.0,85.19,154.04,161.0,139.0,128.42,0.0,25.62,116.0,0.0,23.0,134.0,0.0,27.0,1.2,45.0,0.0,0.0,0.0,500.0,221
,95.85,96.68,0.0,91.5,86.36,87.16,0.0,82.14,168.7,176.0,152.0,143.08,0.0,25.62,129.0,0.0,23.0,148.0,0.0,28.0,1.2,40.0,0.0,0.0,0.0,500.0,222
,92.53,93.09,0.0,89.47,82.09,82.59,0.0,79.31,346.05,374.0,307.0,294.16,0.0,51.89,261.0,0.0,46.0,316.0,0.0,58.0,1.3,90.0,0.0,0.0,0.0,500.0,225
,92.33,92.74,0.0,90.26,81.49,81.89,0.0,79.45,409.01,443.0,361.0,343.12,0.0,65.89,303.0,0.0,58.0,370.0,0.0,73.0,1.3,80.0,0.0,0.0,0.0,500.0,226
