xtim,kret9,kret3,kret1,kret0,knum9,knum3,knum1,knum0,ret9,num9,nwin9,ret3,ret1,ret0,nwin3,nwin1,nwin0,num3,num1,num0,cid
2017-02-19,55.5,55.5,0.0,0.0,50.0,50.0,0.0,0.0,1.11,2.0,1.0,1.11,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1
2017-02-18,52.5,52.5,0.0,0.0,50.0,50.0,0.0,0.0,1.05,2.0,1.0,1.05,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1
2017-02-17,117.25,117.25,0.0,0.0,100.0,100.0,0.0,0.0,4.69,4.0,4.0,4.69,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1
2017-02-13,118.0,0.0,0.0,118.0,100.0,0.0,0.0,100.0,1.18,1.0,1.0,0.0,0.0,1.18,0.0,0.0,1.0,0.0,0.0,1.0,1
2017-02-12,87.67,84.88,0.0,110.0,77.78,75.0,0.0,100.0,7.89,9.0,7.0,6.79,0.0,1.1,6.0,0.0,1.0,8.0,0.0,1.0,1
2017-02-11,114.83,112.75,0.0,119.0,100.0,100.0,0.0,100.0,6.89,6.0,6.0,4.51,0.0,2.38,4.0,0.0,2.0,4.0,0.0,2.0,1
2017-02-10,113.5,113.5,0.0,0.0,100.0,100.0,0.0,0.0,2.27,2.0,2.0,2.27,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1
2017-02-09,114.0,0.0,0.0,114.0,100.0,0.0,0.0,100.0,1.14,1.0,1.0,0.0,0.0,1.14,0.0,0.0,1.0,0.0,0.0,1.0,1
2017-02-08,109.0,109.0,0.0,0.0,100.0,100.0,0.0,0.0,2.18,2.0,2.0,2.18,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1
2017-02-06,108.0,108.0,0.0,0.0,100.0,100.0,0.0,0.0,1.08,1.0,1.0,1.08,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2017-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2017-01-27,56.0,112.0,0.0,0.0,50.0,100.0,0.0,0.0,1.12,2.0,1.0,1.12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
2017-01-26,89.0,73.0,0.0,137.0,75.0,66.67,0.0,100.0,3.56,4.0,3.0,2.19,0.0,1.37,2.0,0.0,1.0,3.0,0.0,1.0,1
2017-01-24,119.0,0.0,0.0,119.0,100.0,0.0,0.0,100.0,1.19,1.0,1.0,0.0,0.0,1.19,0.0,0.0,1.0,0.0,0.0,1.0,1
sum,93.03,89.97,0.0,104.5,81.58,80.0,0.0,87.5,35.35,38.0,31.0,26.99,0.0,8.36,24.0,0.0,7.0,30.0,0.0,8.0,1
