xtim,kret9,kret3,kret1,kret0,knum9,knum3,knum1,knum0,ret9,num9,nwin9,ret3,ret1,ret0,nwin3,nwin1,nwin0,num3,num1,num0,cid
2017-02-10,122.67,122.67,0.0,0.0,100.0,100.0,0.0,0.0,3.68,3.0,3.0,3.68,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1
2017-02-09,101.0,97.75,0.0,114.0,80.0,75.0,0.0,100.0,5.05,5.0,4.0,3.91,0.0,1.14,3.0,0.0,1.0,4.0,0.0,1.0,1
2017-02-08,106.33,98.2,0.0,147.0,83.33,80.0,0.0,100.0,6.38,6.0,5.0,4.91,0.0,1.47,4.0,0.0,1.0,5.0,0.0,1.0,1
2017-02-07,78.8,98.5,0.0,0.0,60.0,75.0,0.0,0.0,3.94,5.0,3.0,3.94,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,1
2017-02-06,130.14,130.14,0.0,0.0,100.0,100.0,0.0,0.0,9.11,7.0,7.0,9.11,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,1
2017-02-05,86.43,71.0,0.0,125.0,71.43,60.0,0.0,100.0,6.05,7.0,5.0,3.55,0.0,2.5,3.0,0.0,2.0,5.0,0.0,2.0,1
2017-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2017-01-28,131.0,131.0,0.0,0.0,100.0,100.0,0.0,0.0,2.62,2.0,2.0,2.62,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1
2017-01-27,37.33,112.0,0.0,0.0,33.33,100.0,0.0,0.0,1.12,3.0,1.0,1.12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1
2017-01-26,66.82,67.14,0.0,66.25,54.55,57.14,0.0,50.0,7.35,11.0,6.0,4.7,0.0,2.65,4.0,0.0,2.0,7.0,0.0,4.0,1
2017-01-25,66.88,56.71,0.0,138.0,50.0,42.86,0.0,100.0,5.35,8.0,4.0,3.97,0.0,1.38,3.0,0.0,1.0,7.0,0.0,1.0,1
2017-01-24,119.0,0.0,0.0,119.0,100.0,0.0,0.0,100.0,1.19,1.0,1.0,0.0,0.0,1.19,0.0,0.0,1.0,0.0,0.0,1.0,1
2017-01-23,76.83,69.2,0.0,115.0,66.67,60.0,0.0,100.0,4.61,6.0,4.0,3.46,0.0,1.15,3.0,0.0,1.0,5.0,0.0,1.0,1
2017-01-22,89.57,95.67,0.0,78.6,71.43,77.78,0.0,60.0,12.54,14.0,10.0,8.61,0.0,3.93,7.0,0.0,3.0,9.0,0.0,5.0,1
2017-01-21,75.67,66.5,0.0,94.0,58.33,50.0,0.0,75.0,9.08,12.0,7.0,5.32,0.0,3.76,4.0,0.0,3.0,8.0,0.0,4.0,1
2017-01-20,133.5,132.0,0.0,141.0,100.0,100.0,0.0,100.0,8.01,6.0,6.0,6.6,0.0,1.41,5.0,0.0,1.0,5.0,0.0,1.0,1
2017-01-19,115.25,115.14,0.0,116.0,87.5,85.71,0.0,100.0,9.22,8.0,7.0,8.06,0.0,1.16,6.0,0.0,1.0,7.0,0.0,1.0,1
2017-01-18,27.0,0.0,0.0,54.0,25.0,0.0,0.0,50.0,1.08,4.0,1.0,0.0,0.0,1.08,0.0,0.0,1.0,2.0,0.0,2.0,1
2017-01-17,81.67,81.67,0.0,0.0,66.67,66.67,0.0,0.0,2.45,3.0,2.0,2.45,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1
2017-01-15,86.33,82.33,0.0,94.33,66.67,66.67,0.0,66.67,7.77,9.0,6.0,4.94,0.0,2.83,4.0,0.0,2.0,6.0,0.0,3.0,1
2017-01-14,64.33,86.33,0.0,42.33,50.0,66.67,0.0,33.33,3.86,6.0,3.0,2.59,0.0,1.27,2.0,0.0,1.0,3.0,0.0,3.0,1
2017-01-13,60.0,60.0,0.0,0.0,50.0,50.0,0.0,0.0,1.2,2.0,1.0,1.2,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1
2017-01-12,127.25,127.25,0.0,0.0,100.0,100.0,0.0,0.0,5.09,4.0,4.0,5.09,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1
2017-01-11,28.2,47.0,0.0,0.0,20.0,33.33,0.0,0.0,1.41,5.0,1.0,1.41,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1
2017-01-09,80.33,89.0,0.0,63.0,66.67,75.0,0.0,50.0,4.82,6.0,4.0,3.56,0.0,1.26,3.0,0.0,1.0,4.0,0.0,2.0,1
2017-01-08,93.67,82.5,0.0,102.6,77.78,75.0,0.0,80.0,8.43,9.0,7.0,3.3,0.0,5.13,3.0,0.0,4.0,4.0,0.0,5.0,1
2017-01-07,101.29,92.83,0.0,152.0,78.57,75.0,0.0,100.0,14.18,14.0,11.0,11.14,0.0,3.04,9.0,0.0,2.0,12.0,0.0,2.0,1
2017-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2017-01-05,68.0,136.0,0.0,0.0,50.0,100.0,0.0,0.0,1.36,2.0,1.0,1.36,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1
2017-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2017-01-03,137.0,138.0,0.0,136.0,100.0,100.0,0.0,100.0,2.74,2.0,2.0,1.38,0.0,1.36,1.0,0.0,1.0,1.0,0.0,1.0,1
2017-01-02,84.17,126.0,0.0,42.33,66.67,100.0,0.0,33.33,5.05,6.0,4.0,3.78,0.0,1.27,3.0,0.0,1.0,3.0,0.0,3.0,1
2016-12-31,77.22,83.29,0.0,56.0,66.67,71.43,0.0,50.0,6.95,9.0,6.0,5.83,0.0,1.12,5.0,0.0,1.0,7.0,0.0,2.0,1
2016-12-30,52.0,52.0,0.0,0.0,50.0,50.0,0.0,0.0,1.04,2.0,1.0,1.04,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1
2016-12-28,115.33,115.33,0.0,0.0,100.0,100.0,0.0,0.0,3.46,3.0,3.0,3.46,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1
2016-12-27,93.0,86.5,0.0,119.0,80.0,75.0,0.0,100.0,4.65,5.0,4.0,3.46,0.0,1.19,3.0,0.0,1.0,4.0,0.0,1.0,1
2016-12-26,103.71,103.71,0.0,0.0,85.71,85.71,0.0,0.0,7.26,7.0,6.0,7.26,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,1
2016-12-24,94.25,60.0,0.0,128.5,75.0,50.0,0.0,100.0,3.77,4.0,3.0,1.2,0.0,2.57,1.0,0.0,2.0,2.0,0.0,2.0,1
2016-12-23,101.5,96.8,0.0,125.0,83.33,80.0,0.0,100.0,6.09,6.0,5.0,4.84,0.0,1.25,4.0,0.0,1.0,5.0,0.0,1.0,1
2016-12-22,112.33,109.5,0.0,135.0,88.89,87.5,0.0,100.0,10.11,9.0,8.0,8.76,0.0,1.35,7.0,0.0,1.0,8.0,0.0,1.0,1
2016-12-21,54.71,54.71,0.0,0.0,42.86,42.86,0.0,0.0,3.83,7.0,3.0,3.83,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,1
2016-12-19,73.12,73.12,0.0,0.0,62.5,62.5,0.0,0.0,5.85,8.0,5.0,5.85,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,1
2016-12-18,90.2,98.5,0.0,57.0,70.0,75.0,0.0,50.0,9.02,10.0,7.0,7.88,0.0,1.14,6.0,0.0,1.0,8.0,0.0,2.0,1
2016-12-17,117.73,114.0,0.0,134.5,90.91,88.89,0.0,100.0,12.95,11.0,10.0,10.26,0.0,2.69,8.0,0.0,2.0,9.0,0.0,2.0,1
2016-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2016-12-15,96.0,80.86,0.0,131.33,80.0,71.43,0.0,100.0,9.6,10.0,8.0,5.66,0.0,3.94,5.0,0.0,3.0,7.0,0.0,3.0,1
2016-12-14,123.67,123.67,0.0,0.0,100.0,100.0,0.0,0.0,3.71,3.0,3.0,3.71,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1
2016-12-13,152.0,152.0,0.0,0.0,100.0,100.0,0.0,0.0,1.52,1.0,1.0,1.52,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2016-12-12,78.78,74.87,0.0,110.0,66.67,62.5,0.0,100.0,7.09,9.0,6.0,5.99,0.0,1.1,5.0,0.0,1.0,8.0,0.0,1.0,1
2016-12-11,113.86,110.83,0.0,132.0,85.71,83.33,0.0,100.0,7.97,7.0,6.0,6.65,0.0,1.32,5.0,0.0,1.0,6.0,0.0,1.0,1
2016-12-10,78.09,77.5,0.0,79.67,63.64,62.5,0.0,66.67,8.59,11.0,7.0,6.2,0.0,2.39,5.0,0.0,2.0,8.0,0.0,3.0,1
