xtim,kret9,kret3,kret1,kret0,knum9,knum3,knum1,knum0,ret9,num9,nwin9,ret3,ret1,ret0,nwin3,nwin1,nwin0,num3,num1,num0,cid
2017-02-10,105.0,105.0,0.0,0.0,100.0,100.0,0.0,0.0,1.05,1.0,1.0,1.05,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2017-02-09,114.0,0.0,0.0,114.0,100.0,0.0,0.0,100.0,1.14,1.0,1.0,0.0,0.0,1.14,0.0,0.0,1.0,0.0,0.0,1.0,1
2017-02-08,109.0,109.0,0.0,0.0,100.0,100.0,0.0,0.0,2.18,2.0,2.0,2.18,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1
2017-02-06,108.0,108.0,0.0,0.0,100.0,100.0,0.0,0.0,1.08,1.0,1.0,1.08,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2017-02-05,110.0,110.0,0.0,0.0,100.0,100.0,0.0,0.0,1.1,1.0,1.0,1.1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2017-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2017-01-27,112.0,112.0,0.0,0.0,100.0,100.0,0.0,0.0,1.12,1.0,1.0,1.12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2017-01-26,73.0,73.0,0.0,0.0,66.67,66.67,0.0,0.0,2.19,3.0,2.0,2.19,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1
2017-01-24,119.0,0.0,0.0,119.0,100.0,0.0,0.0,100.0,1.19,1.0,1.0,0.0,0.0,1.19,0.0,0.0,1.0,0.0,0.0,1.0,1
2017-01-23,112.33,111.0,0.0,115.0,100.0,100.0,0.0,100.0,3.37,3.0,3.0,2.22,0.0,1.15,2.0,0.0,1.0,2.0,0.0,1.0,1
2017-01-22,111.0,111.0,0.0,0.0,100.0,100.0,0.0,0.0,3.33,3.0,3.0,3.33,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1
2017-01-21,75.0,56.5,0.0,112.0,66.67,50.0,0.0,100.0,2.25,3.0,2.0,1.13,0.0,1.12,1.0,0.0,1.0,2.0,0.0,1.0,1
2017-01-20,114.0,114.0,0.0,0.0,100.0,100.0,0.0,0.0,1.14,1.0,1.0,1.14,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2017-01-19,116.0,116.0,0.0,116.0,100.0,100.0,0.0,100.0,2.32,2.0,2.0,1.16,0.0,1.16,1.0,0.0,1.0,1.0,0.0,1.0,1
2017-01-18,108.0,0.0,0.0,108.0,100.0,0.0,0.0,100.0,1.08,1.0,1.0,0.0,0.0,1.08,0.0,0.0,1.0,0.0,0.0,1.0,1
2017-01-15,55.0,55.0,0.0,0.0,50.0,50.0,0.0,0.0,1.1,2.0,1.0,1.1,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1
2017-01-13,120.0,120.0,0.0,0.0,100.0,100.0,0.0,0.0,1.2,1.0,1.0,1.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2017-01-08,110.0,110.0,0.0,0.0,100.0,100.0,0.0,0.0,3.3,3.0,3.0,3.3,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1
