gid,gset,mplay,mtid,gplay,gtid,qj,qs,qr,kend,kwin,kwinrq,tweek,tplay,tsell,cid,pwin9,pdraw9,plost9,kwin_sta
647699,瑞典杯,索尔纳,215,盖斯,288,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-19,2017-02-19 20:55:00,1,1.13,5.9,13.5,3.0
647717,瑞典杯,埃尔夫,563,瓦纳默,3913,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-19,2017-02-19 22:55:00,1,1.15,5.8,11.5,3.0
575970,荷甲,海牙,211,费耶诺,801,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-19,2017-02-19 23:40:00,1,10.5,5.35,1.18,0.0
634238,英足总杯,布莱克,723,曼联,1075,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-19,2017-02-20 00:10:00,1,12.0,5.25,1.17,0.0
574038,法甲,日尔曼,647,图卢兹,1233,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-19,2017-02-20 00:55:00,1,1.08,6.75,18.0,3.0
630300,巴圣锦,林斯,6460,帕尔梅,1567,-1.0,-1.0,0.0,0,-1.0,-1.0,0,2017-02-19,2017-02-20 00:55:00,1,8.55,4.7,1.25,0.0
610616,意甲,亚特兰,1308,克罗托,243,1.0,0.0,0.0,1,3.0,-1.0,6,2017-02-19,2017-02-19 00:55:00,1,1.11,6.1,15.5,3.0
630298,巴圣锦,桑托斯,472,费罗维,8626,0.0,1.0,0.0,1,0.0,-1.0,6,2017-02-19,2017-02-19 00:55:00,1,1.17,5.32,11.5,3.0
634232,英足总杯,伯恩利,700,林肯城,1372,0.0,1.0,0.0,1,0.0,-1.0,6,2017-02-18,2017-02-18 20:25:00,1,1.15,5.5,13.0,3.0
607063,西甲,皇马,883,西牙人,1283,2.0,0.0,0.0,1,3.0,-1.0,6,2017-02-18,2017-02-18 23:10:00,1,1.05,8.15,18.5,3.0
628583,欧罗巴,毕尔巴,690,希腊人,2510,3.0,2.0,0.0,1,3.0,-1.0,4,2017-02-17,2017-02-16 23:55:00,1,1.15,5.5,12.75,3.0
628590,欧罗巴,曼联,1075,埃蒂安,494,3.0,0.0,0.0,1,3.0,-1.0,4,2017-02-17,2017-02-16 23:55:00,1,1.1,6.35,16.0,3.0
630294,巴圣锦,帕尔梅,1567,圣贝尔,6461,2.0,0.0,0.0,1,3.0,-1.0,4,2017-02-17,2017-02-16 23:55:00,1,1.15,5.4,13.5,3.0
634471,巴超联杯,弗拉门,1577,米美洲,6212,1.0,0.0,0.0,1,3.0,-1.0,4,2017-02-17,2017-02-16 23:55:00,1,1.29,4.4,8.0,3.0
610610,意甲,卡利亚,917,尤文,1330,0.0,2.0,0.0,1,0.0,-1.0,0,2017-02-13,2017-02-13 00:55:00,1,10.5,5.35,1.18,0.0
575958,荷甲,阿贾克,540,鹿特丹,518,2.0,0.0,0.0,1,3.0,-1.0,0,2017-02-12,2017-02-12 21:25:00,1,1.07,7.25,17.5,3.0
610608,意甲,国米,846,恩波利,788,2.0,0.0,0.0,1,3.0,-1.0,0,2017-02-12,2017-02-12 21:55:00,1,1.16,5.42,12.0,3.0
634265,苏足总杯,流浪者,827,摩顿,3542,2.0,1.0,0.0,1,3.0,-1.0,0,2017-02-12,2017-02-12 22:55:00,1,1.15,5.91,11.0,3.0
