xtim,kret9,kret3,kret1,kret0,knum9,knum3,knum1,knum0,ret9,num9,nwin9,ret3,ret1,ret0,nwin3,nwin1,nwin0,num3,num1,num0,cid
2017-02-12,110.25,110.33,0.0,110.0,100.0,100.0,0.0,100.0,4.41,4.0,4.0,3.31,0.0,1.1,3.0,0.0,1.0,3.0,0.0,1.0,1
2017-02-11,111.67,110.5,0.0,114.0,100.0,100.0,0.0,100.0,3.35,3.0,3.0,2.21,0.0,1.14,2.0,0.0,1.0,2.0,0.0,1.0,1
2017-02-09,114.0,0.0,0.0,114.0,100.0,0.0,0.0,100.0,1.14,1.0,1.0,0.0,0.0,1.14,0.0,0.0,1.0,0.0,0.0,1.0,1
2017-02-08,109.0,109.0,0.0,0.0,100.0,100.0,0.0,0.0,2.18,2.0,2.0,2.18,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1
2017-02-06,108.0,108.0,0.0,0.0,100.0,100.0,0.0,0.0,1.08,1.0,1.0,1.08,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2017-02-05,110.0,110.0,0.0,0.0,100.0,100.0,0.0,0.0,1.1,1.0,1.0,1.1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2017-01-26,111.0,111.0,0.0,0.0,100.0,100.0,0.0,0.0,1.11,1.0,1.0,1.11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2017-01-24,119.0,0.0,0.0,119.0,100.0,0.0,0.0,100.0,1.19,1.0,1.0,0.0,0.0,1.19,0.0,0.0,1.0,0.0,0.0,1.0,1
2017-01-23,112.33,111.0,0.0,115.0,100.0,100.0,0.0,100.0,3.37,3.0,3.0,2.22,0.0,1.15,2.0,0.0,1.0,2.0,0.0,1.0,1
2017-01-22,110.0,110.0,0.0,0.0,100.0,100.0,0.0,0.0,1.1,1.0,1.0,1.1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2017-01-21,56.0,0.0,0.0,112.0,50.0,0.0,0.0,100.0,1.12,2.0,1.0,0.0,0.0,1.12,0.0,0.0,1.0,1.0,0.0,1.0,1
2017-01-19,116.0,0.0,0.0,116.0,100.0,0.0,0.0,100.0,1.16,1.0,1.0,0.0,0.0,1.16,0.0,0.0,1.0,0.0,0.0,1.0,1
2017-01-18,108.0,0.0,0.0,108.0,100.0,0.0,0.0,100.0,1.08,1.0,1.0,0.0,0.0,1.08,0.0,0.0,1.0,0.0,0.0,1.0,1
2017-01-15,55.0,55.0,0.0,0.0,50.0,50.0,0.0,0.0,1.1,2.0,1.0,1.1,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1
2017-01-08,104.0,104.0,0.0,0.0,100.0,100.0,0.0,0.0,1.04,1.0,1.0,1.04,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2017-01-07,107.0,107.0,0.0,0.0,100.0,100.0,0.0,0.0,2.14,2.0,2.0,2.14,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1
2016-12-31,112.0,0.0,0.0,112.0,100.0,0.0,0.0,100.0,1.12,1.0,1.0,0.0,0.0,1.12,0.0,0.0,1.0,0.0,0.0,1.0,1
2016-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2016-12-27,105.0,105.0,0.0,0.0,100.0,100.0,0.0,0.0,1.05,1.0,1.0,1.05,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2016-12-26,107.0,107.0,0.0,0.0,100.0,100.0,0.0,0.0,1.07,1.0,1.0,1.07,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2016-12-24,110.0,0.0,0.0,110.0,100.0,0.0,0.0,100.0,1.1,1.0,1.0,0.0,0.0,1.1,0.0,0.0,1.0,0.0,0.0,1.0,1
2016-12-23,109.0,109.0,0.0,0.0,100.0,100.0,0.0,0.0,1.09,1.0,1.0,1.09,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2016-12-22,108.0,108.0,0.0,0.0,100.0,100.0,0.0,0.0,1.08,1.0,1.0,1.08,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2016-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
2016-12-19,109.0,109.0,0.0,0.0,100.0,100.0,0.0,0.0,1.09,1.0,1.0,1.09,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2016-12-18,114.0,0.0,0.0,114.0,100.0,0.0,0.0,100.0,1.14,1.0,1.0,0.0,0.0,1.14,0.0,0.0,1.0,0.0,0.0,1.0,1
2016-12-15,109.0,109.0,0.0,0.0,100.0,100.0,0.0,0.0,1.09,1.0,1.0,1.09,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2016-12-14,110.0,110.0,0.0,0.0,100.0,100.0,0.0,0.0,1.1,1.0,1.0,1.1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2016-12-12,109.0,108.0,0.0,110.0,100.0,100.0,0.0,100.0,2.18,2.0,2.0,1.08,0.0,1.1,1.0,0.0,1.0,1.0,0.0,1.0,1
2016-12-10,113.0,0.0,0.0,113.0,100.0,0.0,0.0,100.0,1.13,1.0,1.0,0.0,0.0,1.13,0.0,0.0,1.0,0.0,0.0,1.0,1
