"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1001","大鵬華城","38","13","新店區","20200418151327","24.99116","121.53398","新北市新店區中正路700巷3號","Xindian Dist.","Dapeng Community","No. 3, Lane 700 Chung Cheng Road, Xindian District","25","1"
"1002","汐止火車站","56","37","汐止區","20200418151344","25.068914","121.662748","南昌街/新昌路口(西側廣場)","Xizhi Dist.","Xizhi Railway Station","Nanchang St./Xinchang Rd.","19","1"
"1003","汐止區公所","46","16","汐止區","20200418151315","25.064162","121.658301","新台五路一段/仁愛路口(新台五路側汐止地政事務所前機車停車場)","Xizhi Dist.","Xizhi Dist. Office","Sec. 1, Xintai 5th Rd./Ren’ai Rd.","29","1"
"1004","國泰綜合醫院","56","17","汐止區","20200418151338","25.07315","121.662555","建成路78號對面停車場","Xizhi Dist.","Cathay General Hospital","No78, Jiancheng Rd","39","1"
"1005","裕隆公園","40","15","新店區","20200418151329","24.979649","121.546319","寶中路/品牌路口(東南側)","Xindian Dist.","Yulon Park","Baozhong Rd./","25","1"
"1006","捷運大坪林站(5號出口)","94","40","新店區","20200418151330","24.982830","121.543620","中興路三段224號(對面)","Xindian Dist.","MRT DaPingLin Station(Exit.5)","No. 224, Sec. 3, Zhongxing Rd., Xindian Dist.(opposite)","51","1"
"1007","汐科火車站(北)","34","2","汐止區","20200418151340","25.064106","121.653019","大同路二段184巷/龍安路202巷(西側)(汐科火車站北站出口前)","Xizhi Dist.","Xike Railway Station(North)","Ln. 184,Sec. 2, Datong Rd./Ln. 202,Long’an Rd.","32","1"
"1008","興華公園","40","33","三重區","20200418151324","25.060125","121.483101","重陽路一段120巷/中華路2巷","Sanchong Dist.","Xinghua Park","Ln. 120, Sec. 1, Chongyang Rd./Ln. 2, Zhonghua Rd.","7","1"
"1009","三重國民運動中心","68","24","三重區","20200418151340","25.054391","121.488489","集美街/重新路四段184巷","Sanchong Dist.","San chong Civil Sports Center","Jimei St., Sanchong Dist./Ln. 184, Sec. 4, Chongxin Rd.","44","1"
"1010","捷運三重站(3號出口)","34","14","三重區","20200418151344","25.055883","121.484739","捷運路/捷運路37巷","Sanchong Dist.","MRT Sanchong Sta. (Exit 3)","Jieyun Rd./Ln. 37, Jieyun Rd.","20","1"
"1011","樟樹國小","48","20","汐止區","20200418151327","25.066688","121.640367","樟樹二路/樟樹一路141巷","Xizhi Dist.","Zhangshu Elementary School","Zhangshu 2nd Rd./Ln. 141, Zhangshu 1st Rd.","28","1"
"1012","金龍國小","52","16","汐止區","20200418151329","25.0688","121.628908","中興路/民族六街","Xizhi Dist.","Jinlong Elementary School","Zhongxing Rd./Minzu 6th St.","36","1"
"1013","白雲國小","46","6","汐止區","20200418151340","25.047578","121.618888","民權街二段90號","Xizhi Dist.","Pai Yun Primary School","No.90, Sec. 2, Minquan St.","40","1"
"1014","東勢宜興活動中心","52","5","汐止區","20200418151337","25.039031","121.624333","東勢街/芳園街","Xizhi Dist.","Yixing-Dongshi Civic Center","Dongshi St./Fangyuan St.","47","1"
"1015","後港公園","40","29","新莊區","20200418151336","25.025358","121.428348","建安街/建安街57巷","Xinzhuang Dist.","Hougang Park","Ln. 57, Jian’an St./Jian’an St.","11","1"
"1016","福營行政中心","42","9","新莊區","20200418151345","25.0241250","121.423870","四維路17號-20號","Xinzhuang Dist.","Fuying Administration Center","No.17, Siwei Rd./No.20, Siwei Rd.","33","1"
"1017","西盛公園","36","20","新莊區","20200418151320","25.017113","121.428048","新莊區西盛街/西盛街201巷","Xinzhuang Dist.","Xisheng Park","Xisheng St./Ln. 201, Xisheng St.","16","1"
"1018","忠誠里(北新路2段97巷)","40","40","新店區","20200418151320","24.974272","121.542779","北新路二段/北新路二段97巷","Xindian Dist.","Zhongcheng Village (Ln. 97, Sec. 2, Beixin Rd)","Sec. 2, Beixin Rd./Ln. 97, Sec. 2, Beixin Rd.","0","1"
"1019","仁愛廣場","50","10","蘆洲區","20200418151343","25.090565","121.471621","民權路139號旁","Luzhou Dist.","Renai Square","No.139, Minquan Rd.","40","1"
"1020","重陽國小","42","12","三重區","20200418151324","25.066245 ","121.484337 ","中正北路/三民街175巷","Sanchong Dist.","Chong Yang Elementary School","Zhongzheng N. Rd./Ln. 175, Sanmin St.","30","1"
"1021","明志國中","50","32","三重區","20200418151339","25.063396","121.488982","中正北路107號","Sanchong Dist.","Mingzhi Junior High School","No.107, Zhongzheng N. Rd","18","1"
"1022","三重商工","64","5","三重區","20200418151341","25.068681","121.480705","中正北路/中正北路276巷","Sanchong Dist.","San-Chung Commercial and Industrial Vocational High School","Ln. 276, Zhongzheng N. Rd.","59","1"
"1023","捷運新莊站(1號出口)","58","20","新莊區","20200418151334","25.036152 ","121.452069 ","中正路/中華路一段(鄰近新莊廟街)","Xinzhuang Dist.","MRT Xinzhuang Sta. (Exit 1)","Zhongzheng Rd./Sec. 1, Zhonghua Rd.","36","1"
"1024","原興廣場","52","19","汐止區","20200418151335","25.065042","121.633149","原興路/中興路150巷","Xizhi Dist.","Yuan Xing Square","Yuanxing Rd./Ln. 150, Zhongxing Rd.","33","1"
"1025","文化白雲公園","76","14","汐止區","20200418151334","25.056875","121.655207","水源路二段42號訖水源路二段68號","Xizhi Dist.","Wenhua-Baiyun Park","No.42 to No.68, Sec. 2, Shuiyuan Rd.","62","1"
"1026","秀山國小","62","37","中和區","20200418151322","24.996151 ","121.521988 ","更生街/自立路(西南側)","Zhonghe Dist.","Xiushan Elementary School","Gengsheng St./Zili Rd.","25","1"
"1027","捷運永安市場站","72","15","中和區","20200418151348","25.001013 ","121.511588 ","中安街/中和路378巷(東南側)","Zhonghe Dist.","MRT Yongan Market Sta.","Zhong’an St./Ln. 378, Zhonghe Rd.","57","1"
"1028","福和國中","66","15","永和區","20200418151321","25.005952","121.520930","永貞路/永亨路(東南側)","Yonghe Dist.","Fuhe Junior High School","Yongzhen Rd./Yongheng Rd.","51","1"
"1029","仁愛公園","60","29","永和區","20200418151317","25.009838","121.505825","仁愛路/保生路(鄰近世界宗教博物館)","Yonghe Dist.","Renai Park","Ren’ai Rd./Baosheng Rd.","31","1"
"1030","中和公園","46","15","中和區","20200418151320","25.000726 ","121.514350 ","安樂路/得和路(西南側)","Zhonghe Dist.","Zhonghe Park","Anle Rd./Dehe Rd.","29","1"
"1031","金龍公園","52","21","汐止區","20200418151340","25.069473","121.631525 ","湖前街31巷2弄/湖前街31巷","Xizhi Dist.","Jinlong Park","Aly. 2, Ln. 31, Huqian St./Ln. 31, Huqian St.","31","1"
"1032","重陽公園","50","35","蘆洲區","20200418151340","25.085688","121.483618","集賢路221巷重陽活動中心(鄰近蘆洲兒童親子分館)","Luzhou Dist.","Chong Yang Park","Ln. 221, Jixian Rd.","15","1"
"1033","捷運三民高中站(1號出口)","78","17","蘆洲區","20200418151326","25.085815 ","121.472722 ","三民路105號(鄰近湧蓮寺/紫禁城博物館)","Luzhou Dist.","MRT Sanmin Senior High School Sta. (Exit 1)","No.105, Sanmin Rd.","61","1"
"1034","中原公園","58","4","蘆洲區","20200418151334","25.083316 ","121.463894 ","長興路22號前通道","Luzhou Dist.","Zhung Yuan Park","No.22, Changxing Rd.","53","1"
"1035","丹鳳派出所","38","18","新莊區","20200418151322","25.027694 ","121.414662 ","雙鳳路77巷丹鳳派出所前","Xinzhuang Dist.","Danfeng Police Substation","Ln. 77, Shuangfeng Rd.(Danfeng Police Station)","19","1"
"1036","小金門友誼公園","60","9","新店區","20200418151339","24.977227","121.538140","民族路/建興街","Xindian Dist.","Little Kinmen Park","Minzu Rd./Jianxing St.","51","1"
"1037","中興寶橋路口","52","39","新店區","20200418151323","24.976180 ","121.546870 ","中興路三段1號旁","Xindian Dist.","Zhongxing & Baoqiao Intersection　","No.1, Sec. 3, Zhongxing Rd.","13","1"
